Date,Last Price
06/11/2025,
06/10/2025,6038.81
06/09/2025,6005.88
06/06/2025,6000.36
06/05/2025,5939.3
06/04/2025,5970.81
06/03/2025,5970.37
06/02/2025,5935.94
5/30/2025,5911.69
5/29/2025,5912.17
5/28/2025,5888.55
5/27/2025,5921.54
5/23/2025,5802.82
5/22/2025,5842.01
5/21/2025,5844.61
5/20/2025,5940.46
5/19/2025,5963.6
5/16/2025,5958.38
5/15/2025,5916.93
5/14/2025,5892.58
5/13/2025,5886.55
05/12/2025,5844.19
05/09/2025,5659.91
05/08/2025,5663.94
05/07/2025,5631.28
05/06/2025,5606.91
05/05/2025,5650.38
05/02/2025,5686.67
05/01/2025,5604.14
4/30/2025,5569.06
4/29/2025,5560.83
4/28/2025,5528.75
4/25/2025,5525.21
4/24/2025,5484.77
4/23/2025,5375.86
4/22/2025,5287.76
4/21/2025,5158.2
4/17/2025,5282.7
4/16/2025,5275.7
4/15/2025,5396.63
4/14/2025,5405.97
04/11/2025,5363.36
04/10/2025,5268.05
04/09/2025,5456.9
04/08/2025,4982.77
04/07/2025,5062.25
04/04/2025,5074.08
04/03/2025,5396.52
04/02/2025,5670.97
04/01/2025,5633.07
3/31/2025,5611.85
3/28/2025,5580.94
3/27/2025,5693.31
3/26/2025,5712.2
3/25/2025,5776.65
3/24/2025,5767.57
3/21/2025,5667.56
3/20/2025,5662.89
3/19/2025,5675.29
3/18/2025,5614.66
3/17/2025,5675.12
3/14/2025,5638.94
3/13/2025,5521.52
03/12/2025,5599.3
03/11/2025,5572.07
03/10/2025,5614.56
03/07/2025,5770.2
03/06/2025,5738.52
03/05/2025,5842.63
03/04/2025,5778.15
03/03/2025,5849.72
2/28/2025,5954.5
2/27/2025,5861.57
2/26/2025,5956.06
2/25/2025,5955.25
2/24/2025,5983.25
2/21/2025,6013.13
2/20/2025,6117.52
2/19/2025,6144.15
2/18/2025,6129.58
2/14/2025,6114.63
2/13/2025,6115.07
02/12/2025,6051.97
02/11/2025,6068.5
02/10/2025,6066.44
02/07/2025,6025.99
02/06/2025,6083.57
02/05/2025,6061.48
02/04/2025,6037.88
02/03/2025,5994.57
1/31/2025,6040.53
1/30/2025,6071.17
1/29/2025,6039.31
1/28/2025,6067.7
1/27/2025,6012.28
1/24/2025,6101.24
1/23/2025,6118.71
1/22/2025,6086.37
1/21/2025,6049.24
1/17/2025,5996.66
1/16/2025,5937.34
1/15/2025,5949.91
1/14/2025,5842.91
1/13/2025,5836.22
01/10/2025,5827.04
