Strike,T,Last,Volm
1090,29,43.1,
1100,29,35.6,
1120,29,22.9,
1125,29,20.2,
1140,29,13.3,
1050,64,84.5,
1075,64,64.3,
1110,64,39.5,
1120,64,33.5,
1125,64,30.7,
1130,64,28,
1135,64,25.6,
1140,64,23.2,
1150,64,19.1,
1160,64,15.3,
1170,64,12.1,
1175,64,10.9,
975,155,161.6,
995,155,144.8,
1025,155,120.1,
1050,155,100.7,
1075,155,82.5,
1100,155,65.5,
1125,155,51,
1135,155,45.5,
1150,155,38.1,
1175,155,27.7,
1200,155,19.6,
1225,155,13.2,
975,246,173.3,
995,246,157,
1025,246,133.1,
1050,246,114.8,
1075,246,97.6,
1100,246,81.2,
1125,246,66.9,
1140,246,58.9,
1150,246,53.9,
1175,246,42.5,
1200,246,33,
1225,246,24.9,
1250,246,18.3,
1275,246,13.2,
1025,337,146.5,
1100,337,96.2,
1125,337,81.7,
1150,337,68.3,
1175,337,56.6,
1200,337,46.1,
1225,337,36.9,
1250,337,29.3,
1275,337,22.5,
1300,337,17.2,
1325,337,12.8,
975,428,182.1,
1050,428,143,
1100,428,111.3,
1125,428,97,
1150,428,83.3,
1200,428,60.9,
1225,428,49.8,
1250,428,41.2,
1300,428,27.1,
1350,428,17.1,
1400,428,10.1,
1050,610,171.4,
1100,610,140.4,
1150,610,112.8,
1175,610,99.8,
1250,610,66.9,
1300,610,49.5,
1350,610,35.7,
1400,610,25.2,
1450,610,17,
1500,610,12.2,
