Strike,T,Last,Volm
5990,10,79.29000854,21
5995,10,80.72000122,310
6000,10,77.8500061,22282
6005,10,68.1000061,30
6010,10,69.21000671,30
6015,10,56.6000061,143
6020,10,62.88999939,2630
6025,10,60.69999695,4252
6030,10,57.16000366,1376
6035,10,55.90000916,2535
6040,10,51.5,2360
6045,10,49.30000305,879
6050,10,47.80000305,729
6055,10,44.19999695,32
6060,10,41.11000061,63
6065,10,41.69999695,22
6070,10,37.69999695,109
6075,10,32.16000366,598
6080,10,30.80000305,10
6085,10,31.19999695,523
5990,20,104.1999969,7
5995,20,106,18
6000,20,98.5,2731
6005,20,97.19999695,34
6010,20,97,12
6015,20,89.1000061,15
6020,20,82.58000183,1041
6025,20,84,213
6030,20,83.5,131
6035,20,77.16999817,20
6040,20,74.80000305,137
6045,20,63.6000061,6
6050,20,68.69999695,528
6055,20,66.1000061,6
6060,20,63.80000305,149
6065,20,58.80000305,19
6070,20,52.16999817,12
6075,20,57,666
6080,20,54.40000916,33
6085,20,47.58000183,20
5990,38,139.3000031,4
6000,38,144.3300018,1550
6005,38,136.7700043,29
6010,38,140.0200043,7
6015,38,121.8000031,11
6020,38,131.0800018,34
6025,38,128.7299957,235
6030,38,126.25,4
6035,38,123.1500092,28
6040,38,120.2600098,19
6045,38,108.1300049,10
6050,38,113.0800018,396
6055,38,105.6999969,91
6060,38,108.4700012,24
6070,38,99.5,196
6075,38,100.1000061,219
6085,38,93.58000183,5
5975,51,174.3999939,5
5985,51,177.3399963,1
5990,51,173.8500061,4
6000,51,160.6199951,101
6015,51,148.8999939,24
6020,51,157.3000031,36
6025,51,155.3899994,16
6030,51,151.1999969,17
6040,51,147,2
6050,51,135.0299988,15
6060,51,132,7
6070,51,124.3000031,2
6075,51,120.5,1
6080,51,120.75,11
6090,51,115.75,2
6100,51,106.5100098,25
5995,66,201.1999969,2
6000,66,198.8500061,4281
6005,66,198.3000031,2
6020,66,183.6000061,2
6025,66,182.1499939,256
6030,66,173.2100067,3
6035,66,174,16
6040,66,176.3699951,11
6045,66,169.8999939,6
6050,66,165.3800049,1003
6060,66,160,76
6065,66,156.8500061,23
6070,66,154.8000031,44
6075,66,148.7799988,3
6080,66,147.3000031,45
6090,66,142.8000031,36
5990,80,230.3000031,1
6000,80,224.5,552
6005,80,210,114
6010,80,201.1000061,110
6020,80,208.3999939,6
6025,80,206.6999969,1
6030,80,197.9700012,2
6040,80,186.3000031,2
6050,80,187.1000061,44
6055,80,178.8999939,4
6065,80,183,12
6070,80,178.8999939,5
6075,80,171.6999969,245
5975,101,270.6201172,36
6000,101,256.3500977,15945
6010,101,241.4499969,1
6025,101,231.3600006,107
6030,101,223.1999969,6
6050,101,216.6999969,6
6060,101,209,1
6075,101,204.8200073,7
6080,101,203.1799927,1
6090,101,192.0899963,2
6100,101,190.1000061,210
6000,112,260.5,201
6010,112,265.3999023,2
6050,112,230.3699951,1
6060,112,224.0200043,1
6070,112,217.8500061,1
6080,112,208.0299988,2
6090,112,207.4700012,1
5825,129,424.1999512,3
5900,129,366.1699219,4
5925,129,348.7299805,2
5950,129,331.1201172,8
5975,129,314.5200195,91
6000,129,296.4199219,39
6025,129,277.3701172,3
6050,129,262.2700195,3
6100,129,230.0899963,14
6125,129,214.8899994,6
6150,129,201.0099945,10
6175,129,186.7100067,95
6200,129,173.1199951,122
6225,129,158.5599976,38
6250,129,146.0099945,4
